Draw Date,Regular Numbers,,,,,,
28th July 2020,7,10,11,24,39,43,48
24th July 2020,17,20,27,29,37,39,41
21st July 2020,7,22,26,35,46,47,49
17th July 2020,5,11,15,18,20,24,46
14th July 2020,3,9,21,35,44,47,48
10th July 2020,17,18,27,38,39,40,47
7th July 2020,9,20,21,22,25,26,37
3rd July 2020,3,4,21,33,38,44,45
30th June 2020,11,12,22,33,37,48,49
26th June 2020,8,14,31,36,39,46,47
23rd June 2020,2,3,6,13,37,42,46
19th June 2020,3,12,17,22,29,31,48
16th June 2020,1,3,22,30,31,37,40
12th June 2020,1,16,24,28,30,31,47
5th June 2020,1,8,15,16,32,39,40
29th May 2020,5,12,15,23,26,38,41
22nd May 2020,9,11,14,21,22,24,41
15th May 2020,7,30,32,40,47,48,50
8th May 2020,3,4,10,11,26,28,40
1st May 2020,3,12,25,36,37,42,49
24th April 2020,8,9,19,26,27,31,46
17th April 2020,2,15,21,29,40,47,50
10th April 2020,3,9,10,14,15,19,20
3rd April 2020,5,9,10,25,27,29,38
31st March 2020,5,7,22,29,32,37,39
20th March 2020,9,16,17,18,21,22,27
13th March 2020,7,14,15,35,36,49,50
6th March 2020,2,9,10,35,41,42,47
28th February 2020,21,27,30,32,33,36,46
21st February 2020,4,7,14,37,48,49,50
14th February 2020,14,17,20,34,38,45,49
7th February 2020,21,24,26,31,36,48,49
31st January 2020,2,27,30,39,44,45,49
24th January 2020,2,11,14,21,23,34,36
17th January 2020,5,6,36,39,40,46,48
10th January 2020,10,13,14,24,28,47,48
3rd January 2020,8,18,20,24,31,37,39
27th December 2019,13,27,34,36,38,45,50
20th December 2019,14,23,28,29,30,33,48
13th December 2019,2,12,14,15,26,34,39
6th December 2019,9,11,17,19,35,36,43
29th November 2019,3,8,14,15,24,33,48
22nd November 2019,5,9,23,29,30,31,37
15th November 2019,15,16,33,36,38,43,49
8th November 2019,3,5,10,18,26,33,46
1st November 2019,10,20,24,25,32,39,46
25th October 2019,6,11,16,18,23,26,40
18th October 2019,3,21,29,37,40,43,44
11th October 2019,1,3,11,13,19,22,46
4th October 2019,20,31,35,36,39,42,44
27th September 2019,3,9,25,26,28,34,38
20th September 2019,9,15,26,36,39,41,47
13th September 2019,4,16,21,32,44,45,50
6th September 2019,4,5,24,25,43,44,50
30th August 2019,5,9,33,36,39,41,44
23rd August 2019,5,6,8,15,22,46,47
16th August 2019,22,24,25,26,29,32,46
9th August 2019,10,25,31,34,36,39,45
2nd August 2019,11,20,23,24,26,41,44
26th July 2019,11,15,17,20,24,25,50
19th July 2019,1,15,21,29,30,31,33
12th July 2019,3,13,19,25,28,30,37
5th July 2019,1,4,8,28,32,36,43
28th June 2019,7,11,36,37,38,43,46
21st June 2019,11,16,17,20,42,44,50
14th June 2019,4,11,20,22,37,44,49
7th June 2019,4,8,13,23,25,33,39
31st May 2019,6,29,34,39,42,47,50
24th May 2019,9,11,15,19,20,35,41
17th May 2019,4,21,23,39,40,42,50
10th May 2019,16,17,31,34,36,39,41
3rd May 2019,2,3,5,12,21,22,37
26th April 2019,9,17,21,23,36,41,48
19th April 2019,2,16,21,33,39,42,47
12th April 2019,2,20,21,30,31,39,45
5th April 2019,1,2,16,21,23,25,28
29th March 2019,10,12,19,22,25,32,42
22nd March 2019,1,3,20,21,27,28,44
15th March 2019,6,11,25,31,36,41,49
8th March 2019,2,9,16,17,21,22,32
1st March 2019,2,23,24,29,40,48,49
22nd February 2019,6,31,33,34,43,44,46
15th February 2019,1,2,32,37,38,39,45
8th February 2019,18,23,31,32,36,38,43
1st February 2019,2,6,13,19,21,32,40
25th January 2019,6,12,20,24,40,42,47
18th January 2019,3,19,22,30,32,37,40
11th January 2019,8,15,21,28,29,30,39
4th January 2019,7,22,25,26,35,41,45
28th December 2018,5,13,14,16,17,29,49
21st December 2018,7,21,23,25,31,34,45
14th December 2018,6,7,11,21,23,27,41
7th December 2018,2,9,15,23,26,30,41
30th November 2018,5,8,15,20,25,26,47
23rd November 2018,1,7,13,14,22,42,48
16th November 2018,11,17,24,34,41,42,48
9th November 2018,2,12,31,34,39,48,49
2nd November 2018,9,10,16,23,24,39,49
26th October 2018,2,3,4,8,9,20,30
19th October 2018,10,15,16,17,19,27,38
12th October 2018,18,31,38,45,46,47,48
5th October 2018,8,9,12,20,22,27,30
21st September 2018,3,9,15,16,19,45,48
14th September 2018,1,3,5,10,16,27,43
7th September 2018,3,12,21,34,37,38,41
31st August 2018,2,4,18,19,20,39,44
24th August 2018,3,5,7,11,13,20,29
17th August 2018,12,17,22,27,28,29,35
10th August 2018,2,9,18,33,36,40,49
3rd August 2018,9,11,23,33,35,36,42
27th July 2018,8,11,14,17,26,30,36
20th July 2018,6,8,12,19,20,25,49
13th July 2018,1,4,5,22,25,32,34
6th July 2018,1,11,20,32,41,42,44
29th June 2018,3,5,17,23,28,43,46
22nd June 2018,3,10,16,28,31,38,47
15th June 2018,18,23,28,37,44,45,47
8th June 2018,12,25,27,29,34,44,45
1st June 2018,2,11,17,18,22,25,39
25th May 2018,7,10,13,19,24,31,41
18th May 2018,4,13,23,30,31,37,43
11th May 2018,11,22,28,33,39,43,47
4th May 2018,1,11,15,16,20,29,39
27th April 2018,8,9,11,17,37,39,41
20th April 2018,6,14,16,22,30,42,45
13th April 2018,1,8,9,22,29,30,32
6th April 2018,7,18,29,30,41,45,46
30th March 2018,1,12,18,19,21,24,41
23rd March 2018,7,12,15,23,35,43,49
16th March 2018,13,24,29,31,35,36,42
9th March 2018,13,18,20,26,32,35,47
2nd March 2018,7,25,26,28,32,36,37
23rd February 2018,13,17,24,32,33,44,45
16th February 2018,5,14,22,23,35,40,49
9th February 2018,6,19,24,25,36,37,39
